round,deltaT,mean_accuracy
1,117914.0,0.3045892663300037
2,262096.99999999997,0.6168775022029876
3,119930.0,0.6754628628492355
4,142951.0,0.7018608510494232
5,245488.0,0.7494326442480087
6,144223.0,0.7835549473762512
7,132072.0,0.7970444619655609
8,144754.0,0.874948122501373
9,138715.0,0.8964444029331207
10,149095.0,0.8242429554462433
11,154811.0,0.8323145866394043
12,147914.0,0.8901623841524124
13,116935.0,0.8406035810709
14,152794.0,0.8479583472013474
15,134777.0,0.8533305585384369
16,155933.0,0.8495801746845245
17,163502.0,0.8535301148891449
18,162497.0,0.8504228353500366
19,530633.0,0.8548182904720306
