round,deltaT,mean_accuracy
1,117914.0,0.20458926633000374
2,262096.99999999997,0.5168775022029877
3,119930.0,0.5754628628492355
4,142951.0,0.6018608510494232
5,245488.0,0.6494326442480087
6,144223.0,0.6835549473762512
7,132072.0,0.6970444619655609
8,144754.0,0.7084948122501373
9,138715.0,0.7164444029331207
10,149095.0,0.7242429554462433
11,154811.0,0.7323145866394043
12,147914.0,0.7311623841524124
13,116935.0,0.7406035810709
14,152794.0,0.7479583472013474
15,134777.0,0.7533305585384369
16,155933.0,0.7495801746845245
17,163502.0,0.7535301148891449
18,162497.0,0.7504228353500366
19,530633.0,0.7548182904720306
