round,deltaT,mean_accuracy,n_selected
1,3780256.0,0.45658973074400633,11
2,3895360.0,0.7105068033738554,12
3,3606830.0,0.7585915790705604,10
4,3898171.0,0.7677358965247988,12
5,3790391.0,0.7769070983928046,11
6,3890159.0,0.772280360729687,12
7,3798095.0,0.7862717189413603,11
8,3849190.0,0.7752006059153768,11
9,3767021.0,0.7970343065654172,11
10,3886614.0,0.7939121985838565,11
11,3768972.0,0.8077690307002268,11
12,3874098.0,0.7998994719516279,11
13,3794989.0,0.8030610668354701,11
14,3860029.0,0.8002564891936896,11
15,3797298.0,0.8160111001757896,11
16,3854154.0,0.8045888129103864,11
17,3604922.0,0.8121589715602875,10
18,3860250.0,0.8080084428343044,11
19,3664994.0,0.812314573288317,10
20,3827049.0,0.8093225927835865,11
21,3633008.0,0.8140140518358138,10
22,3814993.0,0.808129733063717,11
23,3688410.0,0.8234520907900528,10
24,3652004.0,0.8072545455356472,10
25,3646126.0,0.8206337254668418,10
26,3634846.0,0.8225269388681132,10
27,3707111.0,0.8261792409989556,10
28,3758090.0,0.8124472683965885,10
29,3689107.0,0.8336258295865395,10
30,3664165.0,0.815990800010192,10
31,3559864.0,0.8245076134639909,9
32,3645976.0,0.81772121118372,10
33,3698145.0,0.8250837848132458,10
34,3624832.0,0.811043276073819,9
35,3536795.0,0.8253137025590725,9
36,3713071.0,0.8137189262834484,10
37,3595910.0,0.8182079968189505,9
38,3635847.0,0.8302384766392262,10
39,3617922.0,0.8242726925693006,9
40,3641977.0,0.8244425891574537,10
41,3555818.0,0.8298184247703019,9
42,3581940.0,0.8203890623307609,9
43,3627038.0,0.8261699812699055,9
44,3511978.0,0.8177160455603604,9
45,3353701.0,0.824210374318988,8
46,3566782.0,0.8208520184148661,9
47,3623849.0,0.8332763858190567,9
48,3569916.0,0.82247045982403,9
49,3608920.0,0.8314909489155918,9
50,3530881.0,0.8255234588586081,9
