round,deltaT,mean_accuracy,n_selected
1,3129.0,0.5462521923085054,3
2,3090.0,0.5915490041176478,3
3,3125.0,0.6521729330221812,3
4,3094.0,0.640415295958519,3
5,2094.0,0.7054260447621346,3
6,3087.0,0.6261556595563889,3
7,3089.0,0.6235905413826307,3
8,3104.0,0.7134624570608139,3
9,3088.0,0.7846280485391617,3
10,3090.0,0.7598055998484293,3
11,3107.0,0.7592987418174744,3
12,3090.0,0.7864026526610056,3
13,2084.0,0.7861786236365637,3
14,3087.0,0.8189992060263952,3
15,3106.0,0.7986879795789719,3
16,3113.0,0.8676034112771353,3
17,2084.0,0.8235387603441874,3
18,3088.0,0.8739546636740366,3
19,3120.0,0.8115602433681488,3
20,3107.0,0.8228878875573477,3
21,3089.0,0.8565250833829244,3
22,3118.0,0.8199232717355093,3
23,3134.0,0.8212308883666992,3
24,3132.0,0.9103284478187561,3
25,3130.0,0.8916503489017487,3
26,3084.0,0.8841690421104431,3
27,3086.0,0.8645799358685812,3
28,3089.0,0.8930442631244659,3
29,3125.0,0.8847789963086446,3
30,3104.0,0.9098736047744751,3
31,3088.0,0.9198522369066874,3
32,3117.0,0.9194002946217855,3
33,3090.0,0.8878486553827921,3
34,3088.0,0.8929454882939657,3
35,3090.0,0.9116202096144358,3
36,3088.0,0.9311765333016714,3
37,3087.0,0.9378407498200735,3
38,3087.0,0.9508156577746073,3
39,3090.0,0.9363015790780386,3
40,3089.0,0.9186678528785706,3
41,3090.0,0.9415938357512156,3
42,3088.0,0.9478607078393301,3
43,2112.0,0.9473601778348287,3
44,3091.0,0.9373030563195547,3
45,3089.0,0.937000552813212,3
46,3087.0,0.9617915749549866,3
47,3089.0,0.9496344923973083,3
48,3093.0,0.9447834889094034,3
49,3097.0,0.9512867629528046,3
50,3089.0,0.9561300277709961,3
