segs,recived,sent,recived_dt,sent_dt
0.005,0,0,0,0
3.655,223,105,223,105
9.649,6245844,6248491,6245621,6248386
15.676,25210403,56899190,18964559,50650699
21.698,41050923,88582237,15840520,31683047
27.734,63225632,142435078,22174709,53852841
33.734,82229530,177277674,19003898,34842596
39.722,101232488,227949965,19002958,50672291
45.652,113899863,256452019,12667375,28502054
51.679,139234192,313458272,25334329,57006253
57.71,161399317,351456726,22165125,37998454
63.712,177231928,398951596,15832611,47494870
69.662,202561107,455940024,25329179,56988428
75.679,221571376,490768317,19010269,34828293
81.647,240554313,541427568,18982937,50659251
87.732,259548094,576250868,18993781,34823300
93.692,284874948,633237481,25326854,56986613
99.658,303869177,683889049,18994229,50651568
105.721,329193300,740866571,25324123,56977522
111.731,341855559,769359374,12662259,28492803
117.686,367178556,826336940,25322997,56977566
123.637,392500915,883312354,25322359,56975414
129.686,414670839,921294791,22169924,37982437
135.653,433647827,971936953,18976988,50642162
141.667,455802325,1025739175,22154498,53802222
147.687,477955595,1063714935,22153270,37975760
153.646,496946102,1114354307,18990507,50639372
159.729,519099105,1168151685,22153003,53797378
165.654,538087328,1202965943,18988223,34814258
171.722,560240039,1256764059,22152711,53798116
177.671,582393211,1310563671,22153172,53799612
183.733,601379670,1345375160,18986459,34811489
189.653,620367269,1396007124,18987599,50631964
