segs,recived,sent,recived_dt,sent_dt
0.046,0,0,0,0
3.128,223,105,223,105
9.116,3225439,3126726,3225216,3126621
15.19,12538654,28392026,9313215,25265300
21.196,37892655,85437064,25354001,57045038
27.18,47397416,94943712,9504761,9506648
33.212,50566273,113952461,3168857,19008749
39.126,75909955,170976431,25343682,57023970
45.159,88580800,199486149,12670845,28509718
51.134,101250492,227992544,12669692,28506395
57.211,113920473,256502904,12669981,28510360
63.194,126589418,285006223,12668945,28503319
69.112,145592368,316680157,19002950,31673934
75.117,164594043,370517186,19001675,53837029
81.195,177260754,399018301,12666711,28501115
87.193,193093785,430685956,15833031,31667655
93.123,202593164,456016659,9499379,25330703
99.151,227924247,513011876,25331083,56995217
105.182,240590216,541510104,12665969,28498228
111.187,253255909,570008106,12665693,28498002
117.201,265921201,598503647,12665292,28495541
123.151,278586847,627001177,12665646,28497530
129.191,291251731,655495430,12664884,28494253
135.21,303915116,683985644,12663385,28490214
141.118,316579256,712479668,12664140,28494024
147.115,329243249,740973740,12663993,28494072
153.21,341906727,769467422,12663478,28493682
159.157,351403770,778966354,9497043,9498932
165.156,354570799,797964112,3167029,18997758
171.147,367233732,826454224,12662933,28490112
177.148,389391631,864440467,22157899,37986243
183.211,414715558,921420603,25323927,56980136
189.155,417882049,940415138,3166491,18994535
195.162,443206325,997393208,25324276,56978070
201.202,462198912,1032213599,18992587,34820391
207.176,481191594,1082863211,18992682,50649612
213.155,493853059,1111351386,12661465,28488175
219.124,516010270,1149335927,22157211,37984541
225.144,531837749,1196815551,15827479,47479624
231.159,544498034,1225301126,12660285,28485575
237.168,569820022,1282276599,25321988,56975473
243.123,582480246,1310760268,12660224,28483669
249.169,595141163,1339248415,12660917,28488147
255.168,607801590,1367734372,12660427,28485957
261.149,620461662,1396219724,12660072,28485352
