round,deltaT,mean_accuracy,n_selected
1,14184.0,0.5713951736688614,3
2,13099.0,0.5253909354408582,3
3,13098.0,0.6509095802903175,3
4,13098.0,0.6968020920952162,3
5,13129.0,0.5927767256895701,3
6,13100.0,0.640576625863711,3
7,13098.0,0.6555837169289589,3
8,13099.0,0.7368551592032114,3
9,13098.0,0.6206850931048393,3
10,13097.0,0.863837997118632,3
11,13099.0,0.7837396164735159,3
12,13132.0,0.7813533345858256,3
13,13098.0,0.7858768304189047,3
14,13101.0,0.7496758500734965,3
15,13099.0,0.8078194707632065,3
16,13100.0,0.8477339049180349,3
17,13097.0,0.8300753931204478,3
18,13100.0,0.7963424026966095,3
19,13134.0,0.8111615131298701,3
20,13098.0,0.8179274698098501,3
21,13099.0,0.8725408613681793,3
22,13135.0,0.8991961578528086,3
23,13099.0,0.8540884057680765,3
24,13095.0,0.8797533909479777,3
25,13130.0,0.8781993389129639,3
26,13132.0,0.8822262485822042,3
27,13097.0,0.893476277589798,3
28,13100.0,0.9083925783634186,3
29,13102.0,0.8970315059026083,3
30,13098.0,0.9158233404159546,3
31,13100.0,0.897021104892095,3
32,13098.0,0.919982930024465,3
33,13098.0,0.8984845678011576,3
34,13099.0,0.887233148018519,3
35,13134.0,0.8947550157705942,3
36,13100.0,0.8820720811684927,3
37,13098.0,0.8887050350507101,3
38,13137.0,0.8973391950130463,3
39,13100.0,0.9189853568871816,3
40,13097.0,0.904900461435318,3
41,13105.0,0.8961171905199686,3
42,13097.0,0.9514575898647308,3
43,13099.0,0.9476043780644735,3
44,13099.0,0.9332226514816284,3
45,13099.0,0.9297741055488586,3
46,13098.0,0.947847048441569,3
47,13098.0,0.9398864010969797,3
48,13135.0,0.9208302001158396,3
49,13096.0,0.914506862560908,3
50,13101.0,0.9247702062129974,3
