segs,recived,sent,recived_dt,sent_dt
0.077,0,0,0,0
3.175,223,105,223,105
9.157,223,167,223,62
15.141,223,196,223,29
21.14,949,369,726,173
27.185,6518728,5495,6517779,5126
33.19,12540695,27493169,6021967,27487674
39.152,15901319,28402890,3360624,909721
45.225,25223681,55186479,9322362,26783589
51.147,26897382,56940557,1673701,1754078
57.138,37905232,80090811,11007850,23150254
63.19,37906500,85475414,1268,5384603
69.15,47415322,94984308,9508822,9508894
75.205,50585708,114002211,3170386,19017903
81.135,58969991,114004462,8384283,2251
87.209,63264075,142531164,4294084,28526702
93.164,69564132,142534309,6300057,3145
99.194,75943847,171060187,6379715,28525878
105.141,80028467,171063335,4084620,3148
111.198,88621371,199270487,8592904,28207152
117.152,90555711,199588045,1934340,317558
123.209,101298611,223126343,10742900,23538298
129.145,101679246,228111621,380635,4985278
135.207,113975663,250998097,12296417,22886476
141.203,113976922,256635191,1259,5637094
147.199,123077602,256635265,9100680,74
153.21,126652052,285156034,3574450,28520769
159.138,134059832,285159183,7407780,3149
165.19,139327430,313675075,5267598,28515892
171.134,144324286,313678220,4996856,3145
177.16,152002100,342102368,7677814,28424148
183.149,155044162,342196934,3042062,94566
189.166,164676128,369745845,9631966,27548911
195.142,165672155,370712899,996027,967054
201.138,177349685,393596986,11677530,22884087
207.138,177350943,399227491,1258,5630505
213.224,186854545,408731167,9503602,9503676
219.137,190023019,427738956,3168474,19007789
225.166,197886322,427741657,7863303,2701
231.228,202695293,456251867,4808971,28510210
237.155,208995350,456255013,6300057,3146
243.207,215368013,484766485,6372663,28511472
249.156,219191991,484769632,3823978,3147
255.217,228040230,512966794,8848239,28197162
261.172,230104890,513281229,2064660,314435
267.158,240712149,536815647,10607259,23534418
273.141,240858209,541792286,146060,4976639
279.212,250216074,551295025,9357865,9502739
285.182,253384332,570300162,3168258,19005137
291.137,262224735,570302414,8840403,2252
297.163,266054640,598811793,3829905,28509379
303.177,273201781,598814943,7147141,3150
309.181,278726186,627323737,5524405,28508794
315.138,283723047,627326887,4996861,3150
321.221,291396506,655742352,7673459,28415465
327.146,294634045,655835833,3237539,93481
333.223,304067262,683379459,9433217,27543626
339.147,304812790,684345174,745528,965715
345.225,316737653,707226686,11924863,22881512
351.222,316738916,712853620,1263,5626934
357.171,326240640,722355418,9501724,9501798
363.15,329407453,741356350,3166813,19000932
369.168,337401674,741359500,7994221,3150
375.142,342077789,769864404,4676115,28504904
381.154,347856537,769867521,5778748,3117
387.181,354747966,798282204,6891429,28414683
393.189,358441624,798375516,3693658,93312
399.189,367417408,825916488,8975784,27540972
405.149,369286583,826881308,1869175,964820
411.157,380086337,849761846,10799754,22880538
417.135,380112213,855385855,25876,5624009
423.215,389588781,864887113,9476568,9501258
429.162,392756565,883889431,3167784,19002318
435.163,401466648,883891683,8710083,2252
441.145,405423917,912390946,3957269,28499263
447.157,411984619,912394097,6560702,3151
453.229,418091763,940893510,6107144,28499413
459.139,422437015,940896651,4345252,3141
465.235,430759334,969086626,8322319,28189975
471.163,433410433,969399362,2651099,312736
477.195,443427806,993712913,10017373,24313551
483.144,444319593,997903685,891787,4190772
489.177,456095636,1020783340,11776043,22879655
495.216,456096842,1026405928,1206,5622588
501.164,465311381,1029572461,9214539,3166533
507.182,468763074,1054905370,3451693,25332909
513.179,476431494,1054908520,7668420,3150
519.202,481430567,1083405738,4999073,28497218
525.162,486427429,1083408890,4996862,3152
531.141,494097478,1111815430,7670049,28406540
537.138,497335021,1111907537,3237543,92107
543.147,506763589,1139443071,9428568,27535534
549.164,507720533,1140406499,956944,963428
555.222,519431346,1163285991,11710813,22879492
561.216,519432605,1168909196,1259,5623205
567.157,528932067,1178408733,9499462,9499537
573.224,532099238,1197407334,3167171,18998601
579.193,540613841,1197409587,8514603,2253
585.208,544765170,1225906056,4151329,28496469
591.186,551325869,1225909205,6560699,3149
597.186,557431153,1254404224,6105284,28495019
603.175,562102188,1254407349,4671035,3125
609.197,570097354,1282594556,7995166,28187207
615.159,572487813,1282906349,2390459,311793
621.205,582762817,1306435630,10275004,23529281
627.139,583050779,1311404366,287962,4968736
633.205,595429031,1334282887,12378252,22878521
639.205,595430294,1339902700,1263,5619813
645.177,604465814,1339902775,9035520,75
651.143,608095882,1368399878,3630068,28497103
657.14,615308184,1368403030,7212302,3152
663.176,620761885,1396897586,5453701,28494556
669.147,625758749,1396900740,4996864,3154
675.163,633427849,1425305923,7669100,28405183
