segs,recived,sent,recived_dt,sent_dt
0.046,0,0,0,0
3.746,223,105,223,105
9.789,12538328,28391995,12538105,28391890
15.72,34739567,66429556,22201239,38037561
21.793,63246036,142484757,28506469,76055201
27.763,88591787,199513596,25345751,57028839
33.758,113935097,256535779,25343310,57022183
39.746,139277411,313557742,25342314,57021963
45.758,164618181,370577351,25340770,57019609
51.726,189957997,427593891,25339816,57016540
57.752,215295084,484603587,25337087,57009696
63.798,240631317,541610974,25336233,57007387
69.755,265966692,598615018,25335375,57004044
75.81,291299487,655615087,25332795,57000069
81.742,316631965,712611514,25332478,56996427
87.807,341963084,769607747,25331119,56996233
93.802,367293420,826600312,25330336,56992565
99.715,392621601,883589564,25328181,56989252
105.739,414798875,921584625,22177274,37995061
111.738,440111904,978572223,25313029,56987598
117.814,465438530,1035555848,25326626,56983625
123.761,490766087,1092543235,25327557,56987387
129.777,516090097,1149523495,25324010,56980260
135.763,544580095,1225496183,28489998,75972688
141.748,566740319,1263486912,22160224,37990729
147.724,592064794,1320467377,25324475,56980465
153.806,617387219,1377444217,25322425,56976840
