round,deltaT,mean_accuracy,n_selected
1,4093.0,0.5773048996925354,3
2,7092.0,0.55917256573836,3
3,3088.0,0.6128106986482939,3
4,7127.0,0.8187955220540365,3
5,7093.0,0.7497324198484421,3
6,3088.0,0.7183999170859655,3
7,3087.0,0.7991991440455118,3
8,7094.0,0.7901668349901835,3
9,7093.0,0.7398389081160227,3
10,7094.0,0.7793519049882889,3
11,3088.0,0.8296735286712646,3
12,4089.0000000000005,0.8236625790596008,3
13,3124.0,0.8664482732613882,3
14,7099.0,0.8113676408926646,3
15,3087.0,0.858539899190267,3
16,6092.0,0.8133443693319956,3
17,6090.0,0.8312317828337351,3
18,3088.0,0.7822534491618475,3
19,3089.0,0.7889772454897562,3
20,5090.0,0.8647436996301016,3
21,7129.0,0.8854155639807383,3
22,7094.0,0.8361142178376516,3
23,7092.0,0.8281147480010986,3
24,7112.0,0.8400815029939016,3
25,6092.0,0.8849636912345886,3
26,6091.0,0.8809673488140106,3
27,6125.0,0.8624854485193888,3
28,7132.0,0.9242452482382456,3
29,6091.0,0.8958826065063477,3
30,6089.0,0.8981048862139384,3
31,5089.0,0.9306196173032125,3
32,3087.0,0.9194187223911285,3
33,3092.0,0.9273426234722137,3
34,7128.0,0.9158679942289988,3
35,3089.0,0.9309475322564443,3
36,5121.0,0.93228147427241,3
37,3088.0,0.9258107046286265,3
38,3090.0,0.9450215895970663,3
39,6091.0,0.9347497920195261,3
40,3088.0,0.9343015750249227,3
41,5090.0,0.9454046189785004,3
42,3089.0,0.9394674599170685,3
43,6126.0,0.9138687054316202,3
44,4128.0,0.9069827099641165,3
45,3088.0,0.9223538637161255,3
46,7090.0,0.960921029249827,3
47,3089.0,0.9386707345644633,3
48,7117.0,0.9600818355878195,3
49,6089.0,0.9584997693697611,3
50,3088.0,0.9454066753387451,3
