round,deltaT,mean_accuracy,n_selected
1,8127.000000000001,0.5522929405172666,3
2,7127.0,0.6410253693660101,3
3,8093.999999999999,0.6570411672194799,3
4,8090.999999999999,0.6269564305742582,3
5,6114.0,0.6538645873467127,3
6,7088.0,0.6976594676574072,3
7,7106.0,0.7676594853401184,3
8,8093.0,0.731616790095965,3
9,8093.0,0.8226189762353897,3
10,7129.0,0.8252370953559875,3
11,8106.0,0.7765548924605051,3
12,6119.0,0.8101416478554407,3
13,7115.0,0.7610351691643397,3
14,7127.0,0.9119191964467367,3
15,8090.999999999999,0.8881590962409973,3
16,8090.999999999999,0.8616158763567606,3
17,7127.0,0.8626680175463358,3
18,7093.0,0.83313516775767,3
19,7092.0,0.9078030387560526,3
20,8093.999999999999,0.8873290717601776,3
21,8125.0,0.8802190323670706,3
22,8093.999999999999,0.8940543135007223,3
23,7091.0,0.888534426689148,3
24,7092.0,0.8780696292718252,3
25,7128.0,0.879089872042338,3
26,7092.0,0.9008204241593679,3
27,7090.0,0.9189546604951223,3
28,6092.0,0.8899551630020142,3
29,7094.0,0.8980765044689178,3
30,7090.0,0.9429007768630981,3
31,7126.0,0.9182094931602478,3
32,8090.999999999999,0.9360100030899048,3
33,7088.0,0.9518190125624338,3
34,7123.0,0.9280473490556082,3
35,7123.0,0.9294777115186056,3
36,7126.0,0.9067167739073435,3
37,8090.999999999999,0.9318398137887319,3
38,7093.0,0.9646506011486053,3
39,8095.000000000001,0.9423300325870514,3
40,7123.0,0.9325215518474579,3
41,7093.0,0.9438435137271881,3
42,7094.0,0.9357022146383921,3
43,7128.0,0.937919557094574,3
44,6092.0,0.923435240983963,3
45,7128.0,0.9524392584959666,3
46,7095.0,0.9381974935531616,3
47,7092.0,0.9483261903127035,3
48,8125.0,0.9574572245279948,3
49,7126.0,0.9454861283302307,3
50,8127.000000000001,0.9646617074807485,3
