segs,recived,sent,recived_dt,sent_dt
0.08,0,0,0,0
3.229,223,105,223,105
9.218,223,167,223,62
15.2,223,196,223,29
21.216,949,369,726,173
27.206,9368210,9370977,9367261,9370608
33.198,21499968,34736015,12131758,25365038
39.176,29302716,56926595,7802748,22190580
45.207,37895577,85448118,8592861,28521523
51.19,50570522,110056470,12674945,24608352
57.204,63244714,138705495,12674192,28649025
63.209,72264125,148824853,9019411,10119358
69.189,81566506,171002638,9302381,22177785
75.181,90283556,199516087,8717050,28513449
81.225,101263349,228025177,10979793,28509090
87.218,113935119,249346859,12671770,21321682
93.216,122150171,259707782,8215052,10360923
99.17,130495329,285050444,8345158,25342662
105.228,139276904,313555223,8781575,28504779
111.179,151946067,342062035,12669163,28506812
117.172,164615206,370477915,12669139,28415880
123.208,177283292,394648093,12668086,24170178
129.178,185628089,402243429,8344797,7595336
135.204,190423993,427581942,4795904,25338513
141.199,202619808,456079686,12195815,28497744
147.27,215286511,484400860,12666703,28321174
153.216,227953412,505897512,12666901,21496652
159.187,236777574,519414559,8824162,13517047
165.193,243856899,541579943,7079325,22165384
171.248,253286149,570077052,9429250,28497109
177.188,265951581,596915480,12665432,26838428
183.218,275166442,604911138,9214861,7995658
189.173,281203380,627077350,6036938,22166212
195.212,291284926,655577260,10081546,28499910
201.21,303949644,684072652,12664718,28495392
207.179,316614436,712391126,12664792,28318474
213.173,329279090,734537112,12664654,22145986
219.212,338558458,747398603,9279368,12861491
225.173,349416904,769565003,10858446,22166400
231.178,361624192,798057140,12207288,28492137
237.175,367666331,826551067,6042139,28493927
243.238,379936461,855043342,12270130,28492275
249.211,392600195,883537610,12663734,28494268
255.217,402097459,893036763,9497264,9499153
261.172,413759115,918362383,11661656,25325620
267.177,420120257,940524139,6361142,22161756
273.222,430589400,969015536,10469143,28491397
279.243,443250548,997502893,12661148,28487357
285.215,455912230,1025816037,12661682,28313144
291.244,465409596,1035491675,9497366,9675638
297.17,474614306,1054486575,9204710,18994900
303.176,481357136,1082978209,6742830,28491634
309.244,493899475,1111464919,12542339,28486710
315.268,506561697,1138476676,12662222,27011757
321.209,516058815,1149456114,9497118,10979438
327.175,527914487,1174777081,11855672,25320967
333.176,535317386,1196933955,7402899,22156874
339.189,544547153,1225422397,9229767,28488442
345.18,557208374,1253908453,12661221,28486056
351.207,569868570,1282393619,12660196,28485166
357.243,582529001,1310704748,12660431,28311129
363.193,595190018,1332194321,12661017,21489573
369.18,603141939,1342536128,7951921,10341807
375.266,607851831,1367857100,4709892,25320972
381.224,620512260,1396341419,12660429,28484319
387.23,633171626,1423172106,12659366,26830687
