round,deltaT,mean_accuracy,n_selected
1,7097.0,0.5644718085726103,3
2,6095.0,0.5376344447334608,3
3,7093.0,0.6081080486377081,3
4,7092.0,0.6974499399463335,3
5,7127.0,0.6672125185529391,3
6,7094.0,0.6495220313469569,3
7,6091.0,0.6893606434265772,3
8,6089.0,0.8058462043603262,3
9,6093.0,0.7921502391497294,3
10,6122.0,0.7813080350557963,3
11,7096.0,0.7565342485904694,3
12,7090.0,0.8197030474742254,3
13,7126.0,0.7684745043516159,3
14,7129.0,0.7347866048415502,3
15,6090.0,0.8158970425526301,3
16,7093.0,0.862648626168569,3
17,7092.0,0.8544942239920298,3
18,7094.0,0.8153552711009979,3
19,6124.0,0.8334999730189642,3
20,6127.0,0.8931682407855988,3
21,7093.0,0.8554514447848002,3
22,6091.0,0.861661026875178,3
23,6093.0,0.8710033794244131,3
24,6091.0,0.8532193005084991,3
25,7127.0,0.9047225713729858,3
26,6092.0,0.8667649229367574,3
27,7093.0,0.903353363275528,3
28,6091.0,0.905935158332189,3
29,6091.0,0.9048302670319875,3
30,6090.0,0.9197870095570883,3
31,6089.0,0.8957927922407786,3
32,6123.0,0.9088907539844513,3
33,7089.0,0.9361335833867391,3
34,6116.0,0.9275956054528555,3
35,7130.0,0.9452829360961914,3
36,6122.0,0.9205071826775869,3
37,6088.0,0.9260479807853699,3
38,7110.0,0.9191891352335612,3
39,6108.0,0.9236816465854645,3
40,6128.0,0.9478214383125305,3
41,7120.0,0.9439791838328043,3
42,6128.0,0.9294244349002838,3
43,7128.0,0.929906964302063,3
44,6126.0,0.9591120481491089,3
45,7130.0,0.9589446584383646,3
46,7129.0,0.9440797865390778,3
47,6127.0,0.9635233084360758,3
48,7129.0,0.9485105176766714,3
49,7093.0,0.9535548190275828,3
50,6127.0,0.9397579431533813,3
