segs,recived,sent,recived_dt,sent_dt
0.046,0,0,0,0
3.943,223,105,223,105
9.918,7199282,5369,7199059,5264
15.912,14423965,28388470,7224683,28383101
21.926,26633986,56914002,12210021,28525532
27.946,37890586,85434489,11256600,28520487
33.914,50565297,113950677,12674711,28516188
39.985,63238841,141854973,12673544,27904296
45.957,72743987,151974573,9505146,10119600
52.003,85415670,180487829,12671683,28513256
57.93,98086339,208998161,12670669,28510332
63.938,110601245,234341530,12514906,25343369
69.938,123427340,266018959,12826095,31677429
75.948,134834400,291359458,11407060,25340499
81.926,142306505,313531267,7472105,22171809
87.941,151934606,342035872,9628101,28504605
93.941,164602530,370536380,12667924,28500508
99.932,177270344,398430155,12667814,27893775
105.921,189937810,426933242,12667466,28503087
111.967,199438968,437047230,9501158,10113988
117.96,211365583,462383054,11926615,25335824
123.911,217924278,484551648,6558695,22168594
129.967,227940795,513051199,10016517,28499551
135.991,240607930,541553203,12667135,28502004
141.915,253274829,570054926,12666899,28501723
147.964,265940482,598551213,12665653,28496287
153.98,278606686,627047491,12666204,28496278
159.96,291272718,655546457,12666032,28498966
165.96,303938975,684046003,12666257,28499546
171.948,316603765,711932662,12664790,27886659
177.939,329268884,740428691,12665119,28496029
183.992,338767880,750539595,9498996,10110904
190.006,351432427,779035816,12664547,28496221
195.957,364096990,807532578,12664563,28496762
201.971,376761325,836026742,12664335,28494164
207.921,388881616,861358987,12120291,25332245
213.979,402090699,893018739,13209083,31659752
219.919,411947749,912018093,9857050,18999354
225.921,419058798,940511791,7111049,28493698
231.932,431133208,969005266,12074410,28493475
237.947,443249327,997495833,12116119,28490567
243.973,455912388,1025988313,12663061,28492480
249.958,468574914,1054477085,12662526,28488772
256.0,481237223,1082967883,12662309,28490798
262.012,493899912,1111458847,12662689,28490964
267.918,506561364,1139946249,12661452,28487402
273.988,519223210,1162955363,12661846,23009114
279.919,531885169,1190658767,12661959,27703404
285.933,540642640,1203256590,8757471,12597823
291.92,550782203,1225414948,10139563,22158358
297.933,563117996,1253903546,12335793,28488598
303.954,569871885,1282393885,6753889,28490339
310.01,582532467,1310877862,12660582,28483977
315.917,595193269,1339365574,12660802,28487712
321.935,607853243,1367850728,12659974,28485154
327.976,620514443,1390858803,12661200,23008075
334.008,633175145,1418563807,12660702,27705004
