segs,recived,sent,recived_dt,sent_dt
0.045,0,0,0,0
3.013,223,105,223,105
8.975,1762039,5366,1761816,5261
15.058,12537962,28388431,10775923,28383065
21.072,25211454,56903975,12673492,28515544
26.972,37884663,75880572,12673209,18976597
32.975,45683404,85424314,7798741,9543742
38.975,51318213,113934730,5634809,28510416
45.055,63228632,142445042,11910419,28510312
50.98,75897212,170949560,12668580,28504518
57.01,85399395,180453631,9502183,9504071
62.982,95126948,199457872,9727553,19004241
69.014,101235951,227963093,6109003,28505221
75.06,113902360,256462406,12666409,28499313
80.981,123402263,265964198,9499903,9501792
86.978,132478074,284967628,9075811,19003430
92.97,140388508,313469121,7910434,28501493
98.983,151903386,341968763,11514878,28499642
105.073,164569024,362699534,12665638,20730771
111.001,172628403,370469418,8059379,7769884
116.98,177589999,398964783,4961596,28495365
123.043,189898638,427458091,12308639,28493308
128.986,202563016,452902958,12664378,25444867
134.977,212061762,465454733,9498746,12551775
140.977,221853572,484453587,9791810,18998854
146.98,227965403,512947012,6111831,28493425
152.972,240555749,541436736,12590346,28489724
159.017,253218995,569930362,12663246,28493626
165.005,262716877,579430133,9497882,9499771
170.976,271139315,598422930,8422438,18992797
177.011,278546171,626915530,7406856,28492600
183.053,291208386,654962819,12662215,28047289
189.014,300705966,664904798,9497580,9941979
194.977,309129070,683901571,8423104,18996773
200.999,317425965,712392885,8296895,28491314
207.015,329197700,740882664,11771735,28489779
213.045,341858595,769369848,12660895,28487184
219.03,351355322,778868464,9496727,9498616
225.002,360950686,797861517,9595364,18993053
231.015,367190288,826348778,6239602,28487261
237.033,379843473,854834072,12653185,28485294
242.997,392505356,882971428,12661883,28137356
249.053,402001997,892824294,9496641,9852866
254.999,410098338,911815299,8096341,18991005
261.005,417828657,940302482,7730319,28487183
267.047,430487809,968346708,12659152,28044226
272.982,439983587,978281315,9495778,9934607
278.974,446711549,997272201,6727962,18990886
285.058,455809942,1025758383,9098393,28486182
291.051,468468961,1054241472,12659019,28483089
297.005,481128705,1079030106,12659744,24788634
302.989,490405918,1089058034,9277213,10027928
308.972,495722880,1111213981,5316962,22155947
314.986,506448372,1139694833,10725492,28480852
321.072,519108378,1163679730,12660006,23984897
326.974,527623878,1168181074,8515500,4501344
332.994,533571558,1196663934,5947680,28482860
339.058,544428356,1225149147,10856798,28485213
344.982,557085257,1253625883,12656901,28476736
351.021,569744139,1281671655,12658882,28045772
357.039,579238641,1291604877,9494502,9933222
362.977,586031626,1310594912,6792985,18990035
369.049,595062235,1339074251,9030609,28479339
375.018,607719789,1363860695,12657554,24786444
381.002,616996108,1373885749,9276319,10025054
386.981,623419869,1396037390,6423761,22151641
