segs,recived,sent,recived_dt,sent_dt
0.051,0,0,0,0
3.814,185,129,185,129
9.817,12543089,28397918,12542904,28397789
15.848,37902442,85456908,25359353,57058990
21.803,60088363,123493061,22185921,38036153
27.749,85440056,180535212,25351693,57042151
33.765,107620769,234403814,22180713,53868602
39.777,132968040,291437029,25347271,57033215
45.793,155159040,345295363,22191000,53858334
51.771,186824128,408655955,31665088,63360592
57.779,212166522,465676933,25342394,57020978
63.791,237506553,522692978,25340031,57016045
69.749,259678684,576540128,22172131,53847150
75.746,278683378,627218716,19004694,50678588
81.827,304020200,684226177,25336822,57007461
87.821,329355548,741231964,25335348,57005787
93.81,367353761,826726481,37998213,85494517
99.825,389520153,864729437,22166392,38002956
105.825,418017931,940720359,28497778,75990922
111.796,443347759,997714001,25329828,56993642
117.78,468675788,1054704199,25328029,56990198
123.741,494004030,1111691081,25328242,56986882
129.74,519331922,1168680023,25327892,56988942
135.745,554154868,1235160774,34822946,66480751
141.76,576314447,1288976343,22159579,53815569
147.813,601639455,1345957361,25325008,56981018
153.811,630130131,1406104562,28490676,60147201
