round,deltaT,mean_accuracy,n_selected
1,4096240.0,0.47743037128672866,12
2,4099314.9999999995,0.6745259820328112,12
3,4065117.0,0.6803116626554054,12
4,4150234.0000000005,0.786983577508379,12
5,4129148.0,0.7885207469799975,12
6,4099201.0,0.763600985025659,12
7,4127247.0000000005,0.7262080883978914,12
8,4160282.0,0.6194238099952768,12
9,4091210.0,0.6670533012429468,12
10,4146331.0,0.5635066641260077,12
11,4104192.0,0.6641904931148374,12
12,4180279.0000000005,0.5866525087853747,12
13,4119386.9999999995,0.7143985854542416,12
14,4085318.0,0.6778541036382846,12
15,4111379.0,0.7740068700872463,12
16,4149359.0000000005,0.7405397284722971,12
17,4125318.0,0.7894011882878029,12
18,4039004.0,0.7307529025162854,12
19,3963893.0,0.8023745389283906,12
20,3985956.0,0.7908780823339718,12
21,3930924.0,0.8065046946867104,12
22,3880906.0,0.7713537797088819,12
23,3916895.0,0.8028792288884544,12
24,3860879.0,0.7813495403618829,12
25,3934915.0,0.8073982118668169,12
26,3909890.0,0.7779128149162405,12
27,3922946.0,0.8035575183699617,12
28,3901892.0,0.7909793087511551,12
29,3930964.0,0.80469354125113,12
30,3918941.0,0.7469189036282115,12
31,3918881.0,0.7964357624985435,12
32,3993004.0,0.7865503080512286,12
33,3936952.0,0.797747804488789,12
34,3927912.0,0.777497346157816,12
35,3978995.0,0.7997663445213044,12
36,3999957.0,0.8009881744959725,12
37,3951964.0,0.8076139076584546,12
38,3978990.0,0.8086820277182408,12
39,3910919.0,0.8057234688359162,12
40,3940920.0,0.8133800012850814,12
41,3979913.0,0.8197298249450498,12
42,3993938.0,0.8236376696809832,12
43,3977964.0,0.8256170265833074,12
44,3912909.0,0.8293977933526665,12
45,3983002.0,0.8272745361067685,12
46,3854870.0,0.8332361403101282,12
47,3929924.0,0.8360244889858072,12
48,4051075.0,0.832392762797526,12
49,3935939.0,0.8415016463450739,12
50,3934931.0,0.8345371087361891,12
