segs,recived,sent,recived_dt,sent_dt
0.005,0,0,0,0
3.344,223,105,223,105
9.37,2724,5371,2501,5266
15.325,12538667,27164730,12535943,27159359
21.329,22049217,37907005,9510550,10742275
27.304,29694561,56928721,7645344,19021716
33.312,37899147,85455839,8204586,28527118
39.3,50574647,112473851,12675500,27018012
45.361,60081495,123486072,9506848,11012221
51.319,67530088,142500188,7448593,19014116
57.355,75925440,171018403,8395352,28518215
63.309,88597906,199531387,12672466,28512984
69.333,101270796,224333165,12672890,24801778
75.399,110775791,237552959,9504995,13219794
81.305,120112951,256560623,9337160,19007664
87.319,126616775,285073576,6503824,28512953
93.3,139286304,313218620,12669529,28145044
99.336,151957348,334966715,12671044,21748095
105.317,160081885,342093673,8124537,7126958
111.318,165635542,370601369,5553657,28507696
117.372,177298782,399108458,11663240,28507089
123.308,189969382,427165947,12670600,28057489
129.357,199471844,437119598,9502462,9953651
135.314,206071814,456124472,6599970,19004874
141.327,215308525,484627552,9236711,28503080
147.331,227977140,513135061,12668615,28507509
153.324,237478614,522638424,9501474,9503363
159.305,246945618,541643247,9467004,19004823
165.35,253315671,570148809,6370053,28505562
171.349,265983218,598651745,12667547,28502936
177.322,278651628,620035986,12668410,21384241
183.309,287101972,627159687,8450344,7123701
189.332,293253845,655661634,6151873,28501947
195.348,303988227,684163345,10734382,28501711
201.383,316653691,712660293,12665464,28496948
207.405,329321066,733392359,12667375,20732066
213.313,336794008,741164898,7472942,7772539
219.299,345421126,769666000,8627118,28501102
225.365,354663392,798165605,9242266,28499605
231.327,367321225,826661957,12657833,28496352
237.315,379987671,850651504,12666446,23989547
243.302,389398092,858329718,9410421,7678214
249.309,396933458,883663382,7535366,25333664
255.332,405319656,912160054,8386198,28496672
261.306,417983626,940209098,12663970,28049044
267.329,427483035,950154461,9499409,9945363
273.32,434408029,969154659,6924994,19000198
279.382,443316151,997653275,8908122,28498616
285.348,455979738,1022443936,12663587,24790661
291.309,465478907,1035647305,9499169,13203369
297.325,475335818,1054645806,9856911,18998501
303.307,483184741,1083142052,7848923,28496246
309.371,493975032,1111634305,10790291,28492253
315.364,506639578,1135621964,12664546,23987659
321.31,515285397,1140133975,8645819,4512011
327.311,521042879,1168628957,5757482,28494982
333.379,531968808,1197122196,10925929,28493239
339.375,544631990,1225613043,12663182,28490847
345.365,557295363,1246342001,12663373,20728958
351.325,564442506,1254109184,7147143,7767183
357.304,570276037,1282602521,5833531,28493337
363.308,582623348,1311092826,12347311,28490305
369.379,595285835,1339583793,12662487,28490967
375.372,604783260,1349083108,9497425,9499315
381.306,613857815,1368078978,9074555,18995870
387.303,620613049,1396571592,6755234,28492614
393.376,633275165,1424618783,12662116,28047191
