segs,recived,sent,recived_dt,sent_dt
0.05,0,0,0,0
3.818,223,138,223,138
9.755,2731,5412,2508,5274
15.777,12539882,28395366,12537151,28389954
21.772,25219038,56923559,12679156,28528193
27.768,37896658,85448536,12677620,28524977
33.762,50572579,113968169,12675921,28519633
39.759,63247229,142486442,12674650,28518273
45.755,75921314,171003020,12674085,28516578
51.751,88594972,199519611,12673658,28516591
57.758,107617571,234366839,19022599,34847228
63.778,113940543,256545735,6322972,22178896
69.77,126612974,285059505,12672431,28513770
75.827,139284679,313570379,12671705,28510874
81.737,155123817,345248591,15839138,31678212
87.778,177298084,399097962,22174267,53849371
93.748,189968968,427609070,12670884,28511108
99.776,202638852,456116473,12669884,28507403
105.785,215308678,484622818,12669826,28506345
111.781,227977768,513129687,12669090,28506869
117.745,240646511,541631699,12668743,28502012
123.825,250146996,551134073,9500485,9502374
129.735,265981786,598639552,15834790,47505479
135.808,278649152,627141317,12667366,28501765
141.823,291316938,655644097,12667786,28502780
147.818,303983524,684142917,12666586,28498820
153.799,316649106,712639863,12665582,28496946
159.818,329315530,741140856,12666424,28500993
165.816,341981965,769639905,12666435,28499049
171.819,354648867,798140561,12666902,28500656
177.738,379980185,855136073,25331318,56995512
183.82,402142963,893130695,22162778,37994622
189.783,414808279,921627585,12665316,28496890
195.758,430639524,969118964,15831245,47491379
201.812,443304250,997614784,12664726,28495820
207.774,462299552,1032441325,18995302,34826541
213.756,474964306,1060939294,12664754,28497969
219.756,484462674,1086267342,9498368,25328048
225.759,506622607,1140084225,22159933,53816883
231.746,512969504,1146418532,6346897,6334307
237.776,519286825,1168578383,6317321,22159851
243.753,531950419,1197070192,12663594,28491809
249.806,544612140,1225558923,12661721,28488731
255.771,557275457,1254051220,12663317,28492297
261.769,569938753,1282543136,12663296,28491916
267.738,582601760,1311033308,12663007,28490172
273.807,592098572,1320532010,9496812,9498702
279.768,607926964,1368014892,15828392,47482882
