segs,recived,sent,recived_dt,sent_dt
0.075,0,0,0,0
3.89,223,105,223,105
9.874,223,167,223,62
15.832,3579286,5402,3579063,5235
21.829,19710398,28392982,16131112,28387580
27.86,34722383,66426863,15011985,38033881
33.831,50566940,112551739,15844557,46124876
39.861,63243085,142483100,12676145,29931361
45.883,75917376,171001754,12674291,28518654
51.845,90744235,199519220,14826859,28517466
57.829,109635066,231203295,18890831,31684075
63.887,126608686,277151407,16973620,45948112
69.905,139280252,313571539,12671566,36420132
75.901,151952379,342083455,12672127,28511916
81.831,164623353,370595398,12670974,28511943
87.839,180530968,399106977,15907615,28511579
93.854,198919347,433946695,18388379,34839718
99.857,215302589,480825761,16383242,46879066
105.886,227971579,513130045,12668990,32304284
111.882,240641599,541636779,12670020,28506734
117.873,253316355,570139494,12674756,28502715
123.841,267699813,598640621,14383458,28501127
129.876,278644991,627145513,10945178,28504892
135.831,294092527,655647083,15447536,28501570
141.833,312363082,684146052,18270555,28498969
147.855,329312247,733962758,16949165,49816706
153.91,341978610,769645168,12666363,35682410
159.911,354645926,798145048,12667316,28499880
165.913,367310938,826641974,12665012,28496926
171.832,386666659,855141149,19355721,28499175
177.838,402116372,889970241,15449713,34829092
183.867,417972621,936838502,15856249,46868261
189.875,430637710,969127192,12665089,32288690
195.895,443303254,997625910,12665544,28498718
201.842,456109264,1026119790,12806010,28493880
207.83,473106194,1054614799,16996930,28495009
213.914,490793358,1092604793,17687164,37989994
219.902,506621706,1139646066,15828348,47041273
225.888,519284916,1168579441,12663210,28933375
231.905,531947612,1197071782,12662696,28492341
237.831,546217713,1225562683,14270101,28490901
243.831,565982659,1254055564,19764946,28492881
249.889,579447452,1292045222,13464793,37989658
255.928,595259516,1339523151,15812064,47477929
261.843,607922912,1368015557,12663396,28492406
267.87,620585885,1396508565,12662973,28493008
