round,deltaT,mean_accuracy,n_selected
1,13135.0,0.5686529924472173,3
2,13113.0,0.5257630224029223,3
3,13130.0,0.5833697815736135,3
4,13132.0,0.5958592370152473,3
5,13130.0,0.7395411680142084,3
6,13131.0,0.6967300400137901,3
7,13131.0,0.7361084669828415,3
8,13136.0,0.7042250260710716,3
9,13095.0,0.7164871543645859,3
10,13134.0,0.8412293593088785,3
11,13132.0,0.7693331291278204,3
12,13130.0,0.7712360620498657,3
13,13129.0,0.8661783734957377,3
14,13132.0,0.8241602679093679,3
15,13132.0,0.8591291209061941,3
16,13127.0,0.8634038964907328,3
17,13128.0,0.8245382209618887,3
18,13133.0,0.8286514778931936,3
19,13129.0,0.9252326091130575,3
20,13108.0,0.8946455915768942,3
21,13132.0,0.8834204276402792,3
22,13132.0,0.8953188558419546,3
23,13131.0,0.9071721931298574,3
24,13132.0,0.9293517967065176,3
25,13134.0,0.8935717344284058,3
26,13130.0,0.9380640983581543,3
27,13129.0,0.9045571883519491,3
28,13131.0,0.9205509920914968,3
29,13131.0,0.9224340120951334,3
30,13128.0,0.929274837176005,3
31,13133.0,0.9187411069869995,3
32,13115.0,0.9316407938798269,3
33,13122.0,0.9485441943009695,3
34,13131.0,0.9269211689631144,3
35,13144.0,0.9268714189529419,3
36,13132.0,0.9282830655574799,3
37,13132.0,0.9133117695649465,3
38,13133.0,0.9349391758441925,3
39,13128.0,0.9586160083611807,3
40,13129.0,0.9495954712231954,3
41,13134.0,0.9476969440778097,3
42,13128.0,0.9495853185653687,3
43,13126.0,0.9411466419696808,3
44,13136.0,0.9275559385617574,3
45,13100.0,0.9282089273134867,3
46,13134.0,0.950698971748352,3
47,13099.0,0.9452193081378937,3
48,13099.0,0.9567911624908447,3
49,13099.0,0.9643287857373556,3
50,13100.0,0.959985226392746,3
