round,deltaT,mean_accuracy,n_selected
1,3096.0,0.5688384945193926,3
2,3127.0,0.5299814840157827,3
3,3129.0,0.6774632409214973,3
4,3099.0,0.6431083281834921,3
5,3134.0,0.6476958617568016,3
6,3091.0,0.7413955157001814,3
7,3092.0,0.7960473994414011,3
8,3100.0,0.7446531057357788,3
9,3092.0,0.8606989979743958,3
10,3090.0,0.8379276692867279,3
11,3090.0,0.7948894103368124,3
12,3108.0,0.7650022010008494,3
13,3092.0,0.8176862150430679,3
14,3091.0,0.7954137921333313,3
15,3104.0,0.792200118303299,3
16,3123.0,0.8303254048029581,3
17,3133.0,0.8571900328000387,3
18,3101.0,0.8498619099458059,3
19,3096.0,0.8742124338944753,3
20,3093.0,0.8417888085047404,3
21,3092.0,0.8594713260730108,3
22,3092.0,0.8376663277546564,3
23,3098.0,0.9252963662147522,3
24,3093.0,0.8980198701222738,3
25,3100.0,0.8986340761184692,3
26,3093.0,0.9306531647841135,3
27,3119.0,0.9067750175793966,3
28,3098.0,0.8936785459518433,3
29,3098.0,0.9129102925459543,3
30,3090.0,0.9230965971946716,3
31,3129.0,0.9251992106437683,3
32,3098.0,0.910619725783666,3
33,3142.0,0.8886946141719818,3
34,3109.0,0.9035746355851492,3
35,3122.0,0.8872524996598562,3
36,3092.0,0.90631502866745,3
37,3113.0,0.9110645353794098,3
38,3095.0,0.9169150590896606,3
39,3087.0,0.9544577201207479,3
40,3092.0,0.9426156183083853,3
41,3096.0,0.9586813549200693,3
42,3091.0,0.9367449978987376,3
43,2088.0,0.9559291501839956,3
44,3117.0,0.9486018518606821,3
45,3092.0,0.9513771235942841,3
46,3093.0,0.9584800601005554,3
47,3104.0,0.9464669128259023,3
48,3126.0,0.951333204905192,3
49,3130.0,0.9280690948168436,3
50,3126.0,0.950515607992808,3
