segs,recived,sent,recived_dt,sent_dt
0.05,0,0,0,0
3.381,223,138,223,138
9.418,9367664,9370348,9367441,9370210
15.436,34722639,66422889,25354975,57052541
21.458,60070036,123459593,25347397,57036704
27.378,82247081,177320226,22177045,53860633
33.471,107587782,234338576,25340701,57018350
39.386,126606809,285015842,19019027,50677266
45.419,151928962,342022594,25322153,57006752
51.402,177264617,399029343,25335655,57006749
57.43,202598198,456028463,25333581,56999120
63.403,227931197,513027971,25332999,56999508
69.426,253262519,570022297,25331322,56994326
75.408,278593755,627019567,25331236,56997270
81.436,303923036,684010772,25329281,56991205
87.391,329250910,740998905,25327874,56988133
93.446,354577487,797983976,25326577,56985071
99.428,376738382,835976725,22160895,37992749
105.411,402063884,892960761,25325502,56984036
111.392,427387445,949940991,25323561,56980230
117.466,449546296,1003755081,22158851,53814090
123.439,478035353,1063898353,28489057,60143272
129.414,493862398,1111379953,15827045,47481600
135.401,519184400,1168356790,25322002,56976837
141.393,554000206,1234824471,34815806,66467681
147.401,576157045,1288634580,22156839,53810109
153.372,598311768,1342437988,22154723,53803408
159.43,620479629,1396240639,22167861,53802651
