round,deltaT,mean_accuracy,n_selected
1,9152.0,0.581486369172732,3
2,11096.0,0.5456582630674044,3
3,12096.0,0.6936556895573934,3
4,8157.999999999999,0.702559640010198,3
5,9089.0,0.7445317208766937,3
6,8131.0,0.7514757265647253,3
7,8135.999999999999,0.7381883462270101,3
8,9138.0,0.6874393473068873,3
9,11148.0,0.7356183379888535,3
10,10129.0,0.7556708206733068,3
11,7093.0,0.8740397393703461,3
12,8092.000000000001,0.8215641677379608,3
13,8095.000000000001,0.786143938700358,3
14,8122.0,0.8210602601369222,3
15,7087.0,0.813776304324468,3
16,11101.0,0.8334971169630686,3
17,8099.0,0.815076470375061,3
18,8131.0,0.8886098464330038,3
19,8125.999999999999,0.8797197739283243,3
20,8131.0,0.8740318020184835,3
21,9095.0,0.8870338698228201,3
22,10093.0,0.8631636401017507,3
23,8090.999999999999,0.8717063963413239,3
24,8127.000000000001,0.9100741147994995,3
25,11093.0,0.9223358631134033,3
26,11096.0,0.8941395183404287,3
27,10091.0,0.9285438557465872,3
28,8090.0,0.8500340183575948,3
29,8096.999999999999,0.9071596364180247,3
30,8090.999999999999,0.8877977331479391,3
31,11132.0,0.9018149077892303,3
32,8129.0,0.9076292316118876,3
33,8137.0,0.9199956258138021,3
34,8095.000000000001,0.9398496250311533,3
35,9093.0,0.9099043607711792,3
36,12144.0,0.9323817789554596,3
37,8135.0,0.917436957359314,3
38,8128.0,0.9242593546708425,3
39,8122.0,0.9250636200110117,3
40,8096.999999999999,0.9525083204110464,3
41,11099.0,0.956475039323171,3
42,10096.0,0.9462770919005076,3
43,8150.0,0.951913853486379,3
44,8141.999999999999,0.945761243502299,3
45,8135.999999999999,0.9404498338699341,3
46,8090.999999999999,0.9615940948327383,3
47,10097.0,0.9392127692699432,3
48,11107.0,0.9444461166858673,3
49,8096.999999999999,0.9480714996655782,3
50,8135.999999999999,0.9541936119397482,3
