segs,recived,sent,recived_dt,sent_dt
0.005,0,0,0,0
3.803,223,105,223,105
9.851,2728,5375,2505,5270
15.761,12540333,12712532,12537605,12707157
21.852,12541593,28401431,1260,15688899
27.84,25223451,52334996,12681858,23933565
33.81,25505627,56938737,282176,4603741
39.826,37904487,80479650,12398860,23540913
45.768,47164532,88641928,9260045,8162278
51.863,50586684,114003262,3422152,25361334
57.773,63264091,142527037,12677407,28523775
63.828,72772801,152037635,9508710,9510598
69.777,80743454,171056446,7970653,19018811
75.815,88620704,199580539,7877250,28524093
81.853,101295472,219664169,12674768,20083630
87.797,101296731,228102783,1259,8438614
93.846,113971493,256005679,12674762,27902896
99.8,116361953,256624668,2390460,618989
105.818,126648990,285146114,10287037,28521446
111.821,139322674,313662182,12673684,28516068
117.846,148829563,323170960,9506889,9508778
123.773,157516326,342185827,8686763,19014867
129.845,164673980,370703760,7157654,28517933
135.827,177345512,399215481,12671532,28511721
141.818,190019154,423210439,12673642,23994958
147.771,190020413,427733225,1259,4522786
153.768,202692599,455634328,12672186,27901103
159.776,211559478,459416358,8866879,3782030
165.779,218667606,484760715,7108128,25344357
171.849,228038328,513272146,9370722,28511431
177.818,240709500,541172450,12671172,27900304
183.797,250212689,548119867,9503189,6947417
189.861,253381891,570298191,3169202,22178324
195.797,266051726,598805365,12669835,28507174
201.786,271244066,598808514,5192340,3149
207.799,278724294,627317481,7480228,28508967
213.774,291393070,655822476,12668776,28504995
219.763,300896027,665327322,9502957,9504846
225.844,304064401,684333170,3168374,19005848
231.793,316732803,705715078,12668402,21381908
237.857,316734063,712841835,1260,7126757
243.842,329401977,740739933,12667914,27898098
249.781,331987917,741346622,2585940,606689
255.782,342072911,769854095,10084994,28507473
261.829,354740814,797751686,12667903,27897591
267.836,364242414,807861691,9501600,10110005
273.792,368887292,826864793,4644878,19003102
279.764,380078276,855366196,11190984,28501403
285.763,385008898,855367722,4930622,1526
291.805,392746759,883871922,7737861,28504200
297.826,405414175,912372767,12667416,28500845
303.852,414915474,921875955,9501299,9503188
309.761,422101551,940878801,7186077,19002846
315.858,430750255,969378274,8648704,28499473
321.796,443415862,990106859,12665607,20728585
327.807,443417123,997878785,1261,7771926
333.799,456081744,1017955101,12664621,20076316
339.792,463163727,1026376728,7081983,8421627
345.84,468750713,1054878704,5586986,28501976
351.861,481416262,1083376443,12665549,28497739
357.829,490917311,1092879382,9501049,9502939
363.77,499275840,1111879656,8358529,19000274
369.827,506750809,1140377835,7474969,28498179
375.763,515916649,1140377910,9165840,75
381.793,519416816,1168876927,3500167,28499017
387.773,532081874,1192863193,12665058,23986266
393.783,540401896,1197375747,8320022,4512554
399.77,545574495,1225877081,5172599,28501334
405.768,557414402,1254375673,11839907,28498592
411.802,570080043,1274454988,12665641,20079315
417.77,574229826,1282875637,4149783,8420649
423.777,582746621,1311370442,8516795,28494805
429.775,592287660,1320868116,9541039,9497674
435.768,595411365,1339866561,3123705,18998445
441.805,608075549,1363852214,12664184,23985653
447.762,615222692,1368363203,7147143,4510989
453.763,622153550,1396859411,6930858,28496208
459.831,633404971,1425351737,11251421,28492326
