round,deltaT,mean_accuracy,n_selected
1,3136.0,0.5921779274940491,3
2,3155.0,0.5441848586002985,3
3,3088.0,0.704535648226738,3
4,3092.0,0.6864913751681646,3
5,3098.0,0.7224735071261724,3
6,2089.0,0.7829504956801733,3
7,3130.0,0.7393280267715454,3
8,3157.0,0.7385903894901276,3
9,3094.0,0.7095780521631241,3
10,3129.0,0.6808512682716051,3
11,3092.0,0.8796411156654358,3
12,3099.0,0.8127020796140035,3
13,3168.0,0.8077201098203659,3
14,3133.0,0.7717462827761968,3
15,3164.0,0.7296809901793798,3
16,3116.0,0.7999964902798334,3
17,3093.0,0.775190994143486,3
18,3095.0,0.8988568286101023,3
19,3094.0,0.8816662530104319,3
20,3122.0,0.8582394321759542,3
21,3094.0,0.8829956650733948,3
22,3093.0,0.927829792102178,3
23,3165.0,0.880827397108078,3
24,3091.0,0.9309541483720144,3
25,3112.0,0.8882792294025421,3
26,3093.0,0.9199536343415579,3
27,3132.0,0.8871082266171774,3
28,3092.0,0.9044254223505656,3
29,3093.0,0.9297927916049957,3
30,3094.0,0.9171619315942129,3
31,3140.0,0.8973328471183777,3
32,3094.0,0.9089619716008505,3
33,3118.0,0.8642344375451406,3
34,3092.0,0.8907540937264761,3
35,3094.0,0.9495993057886759,3
36,3154.0,0.931257963180542,3
37,3145.0,0.9121667146682739,3
38,3092.0,0.9360570212205251,3
39,3111.0,0.9313156108061472,3
40,3125.0,0.9191442131996155,3
41,3093.0,0.9242845078309377,3
42,3092.0,0.9408654570579529,3
43,3109.0,0.9249677459398905,3
44,3122.0,0.9287472466627756,3
45,3093.0,0.9580932756265005,3
46,3109.0,0.9482387999693552,3
47,3120.0,0.9564593831698099,3
48,3115.0,0.9500586887200674,3
49,3115.0,0.9501585165659586,3
50,3092.0,0.9508596261342367,3
