segs,recived,sent,recived_dt,sent_dt
0.046,0,0,0,0
3.963,223,138,223,138
9.961,12539013,28392618,12538790,28392480
15.94,37893140,85440862,25354127,57048244
21.925,60074342,123466491,22181202,38025629
27.913,88590339,199509506,28515997,76043015
33.965,113933979,256532595,25343640,57023089
39.879,139274490,313548525,25340511,57015930
45.879,161445809,351560058,22171319,38011533
51.943,186781760,408567103,25335951,57007045
57.94,212117574,465572306,25335814,57005203
63.918,237452502,522576078,25334928,57003772
69.918,262785111,579577711,25332609,57001633
75.883,278618891,627079065,15833780,47501354
81.939,303950008,684071766,25331117,56992701
87.944,329279293,741061025,25329285,56989259
93.969,354606459,798046775,25327166,56985750
99.954,379934555,855034955,25328096,56988180
105.967,405261858,912017732,25327303,56982777
111.972,430587084,969000627,25325226,56982895
117.917,455910833,1025978890,25323749,56978263
123.893,481232834,1082955401,25322001,56976511
129.927,503391605,1120943227,22158771,37987826
135.951,528713740,1177919862,25322135,56976635
141.964,554036559,1234897006,25322819,56977144
147.924,579358808,1291873040,25322249,56976034
153.93,604681346,1348850273,25322538,56977233
159.891,623686456,1399492688,19005110,50642415
