round,deltaT,mean_accuracy,n_selected
1,6097.0,0.5655216251810392,3
2,5092.0,0.5545339634021124,3
3,5090.0,0.6158258790771166,3
4,5090.0,0.7348585327466329,3
5,5123.0,0.6529840975999832,3
6,5124.0,0.7248281389474869,3
7,5097.0,0.7597352514664332,3
8,5098.0,0.7694043517112732,3
9,5124.0,0.7105669975280762,3
10,5094.0,0.7211989561716715,3
11,5124.0,0.7883775730927786,3
12,5099.0,0.7625307738780975,3
13,5124.0,0.8503826310237249,3
14,5120.0,0.8220487733681997,3
15,5092.0,0.857964297135671,3
16,5093.0,0.8766477604707082,3
17,5119.0,0.8142976562182108,3
18,5125.0,0.8973132868607839,3
19,5108.0,0.880563865105311,3
20,5122.0,0.8569919069608053,3
21,5090.0,0.8478481968243917,3
22,7124.0,0.8445657193660736,3
23,5122.0,0.8638300796349844,3
24,5125.0,0.9102672537167867,3
25,5128.0,0.9081501166025797,3
26,5112.0,0.8748031953970591,3
27,5095.0,0.8930721680323283,3
28,5108.0,0.8794725239276886,3
29,5089.0,0.9051080942153931,3
30,5109.0,0.8623517254988352,3
31,5125.0,0.9241326649983724,3
32,5106.0,0.934068888425827,3
33,5120.0,0.9141728281974792,3
34,5101.0,0.924343466758728,3
35,5119.0,0.9246457020441691,3
36,5107.0,0.9396754006544749,3
37,5132.0,0.9354434609413147,3
38,5114.0,0.9317559401194254,3
39,5112.0,0.9247434139251709,3
40,5126.0,0.8933974703152975,3
41,5100.0,0.8686420023441315,3
42,5125.0,0.93448406457901,3
43,5125.0,0.9153156876564026,3
44,5127.0,0.8997050523757935,3
45,5127.0,0.933022121588389,3
46,5124.0,0.9568113287289938,3
47,5121.0,0.9508532683054606,3
48,5125.0,0.9208290775616964,3
49,5122.0,0.9095697502295176,3
50,5122.0,0.9516179263591766,3
