segs,recived,sent,recived_dt,sent_dt
0.053,0,0,0,0
3.745,223,105,223,105
9.733,223,167,223,62
15.687,3456204,5400,3455981,5233
21.722,12537643,25449306,9081439,25443906
27.706,13540914,28392693,1003271,2943387
33.694,25215592,50823880,11674678,22431187
39.755,25216847,56917496,1255,6093616
45.745,34722920,66423641,9506073,9506145
51.709,37892253,85435206,3169333,19011565
57.728,46276536,85437456,8384283,2250
63.706,50565113,113950215,4288577,28512759
69.681,57256111,113953341,6690998,3126
75.722,63237545,142463558,5981434,28510217
81.682,67582802,142466703,4345257,3145
87.759,75909909,170885927,8327107,28419224
93.674,78235208,170979835,2325299,93908
99.696,88581297,194709008,10346089,23729173
105.67,88654955,199491328,73658,4782320
111.727,101252546,222569432,12597591,23078104
117.735,101253775,227999310,1229,5429878
123.708,110574943,227999390,9321168,80
129.735,113922024,256504102,3347081,28504712
135.676,120873682,256507249,6951658,3147
141.754,126591705,285010551,5718023,28503302
147.706,131458243,285013698,4866538,3147
153.69,139259563,313423652,7801320,28409954
159.693,142497102,313516370,3237539,92718
165.752,151927522,341274720,9430420,27758350
171.677,153079938,342019009,1152416,744289
177.753,164594875,365093463,11514937,23074454
183.698,164596142,370521921,1267,5428458
189.763,173941141,376855154,9344999,6333233
195.696,177262065,399019512,3320924,22164358
201.68,184930481,399022657,7668416,3145
207.712,189928415,427519275,4997934,28496618
213.704,195772350,427522419,5843935,3144
219.746,202594592,455928795,6822242,28406376
225.736,206157932,456021039,3563340,92244
231.701,215260390,483777163,9102458,27756124
237.698,217129569,484521439,1869179,744276
243.681,227926142,507594820,10796573,23073381
249.743,227927401,513020084,1259,5425264
255.706,237425892,522518649,9498491,9498565
261.676,240592394,541513255,3166502,18994606
267.735,248585717,541515507,7993323,2252
273.737,253256019,570006643,4670302,28491136
279.733,259686398,570009791,6430379,3148
285.759,265920512,598502389,6234114,28492598
291.697,270396090,598505536,4475578,3147
297.695,278584801,626907253,8188711,28401717
303.676,280779787,626998811,2194986,91558
309.737,291248274,650722273,10468487,23723462
315.676,291563751,655491337,315477,4769064
321.762,303911590,678562839,12347839,23071502
327.77,303912847,683984747,1257,5421908
333.708,313078687,683984821,9165840,74
339.709,316574338,712473176,3495651,28488355
345.687,323395675,712476322,6821337,3146
351.724,329236985,740965986,5841310,28489664
357.689,333712564,740969134,4475579,3148
363.698,341900029,769369641,8187465,28400507
369.709,345137569,769461202,3237540,91561
375.718,354562476,797208699,9424907,27747497
381.671,354896772,797951653,334296,742954
387.722,367225675,821023126,12328903,23071473
393.727,367226935,826444539,1260,5421413
399.703,376723404,835941082,9496469,9496543
405.761,379888304,854930556,3164900,18989474
411.706,387817361,854933702,7929057,3146
417.679,392550017,883419667,4732656,28485965
423.693,397742355,883422814,5192338,3147
429.696,405212012,911820581,7469657,28397767
435.685,408840507,911911714,3628495,91133
441.75,417874750,939660415,9034243,27748701
447.722,419358764,940403602,1484014,743187
453.758,430536597,963474031,11177833,23070429
459.759,430537856,968893559,1259,5419528
465.763,440032774,978388551,9494918,9494992
471.738,443198511,997378547,3165737,18989996
477.675,450996354,997380799,7797843,2252
483.72,455858886,1025865320,4862532,28484521
489.678,462224108,1025868472,6365222,3152
495.744,468520250,1054353664,6296142,28485192
501.68,472539710,1054356814,4019460,3150
507.682,481180144,1082751391,8640434,28394577
513.69,483179646,1082842260,1999502,90869
519.721,493840750,1106563800,10661104,23721540
525.681,494063556,1111327226,222806,4763426
531.731,503351270,1120822079,9287714,9494853
537.706,506502337,1139811066,3151067,18988987
543.684,515212422,1139813321,8710085,2255
549.69,519162100,1168297444,3949678,28484123
555.713,526309242,1168300596,7147142,3152
561.702,531822405,1196784524,5513163,28483928
567.693,536688946,1196787675,4866541,3151
573.729,544482971,1225182711,7794025,28395036
579.673,547264394,1225273528,2781423,90817
585.696,557142559,1253015600,9878165,27742072
591.686,557699851,1253757918,557292,742318
597.673,569801975,1276826669,12102124,23068751
603.67,569803238,1282241702,1263,5415033
609.696,579144215,1288570914,9340977,6329212
615.717,582461166,1310721820,3316951,22150906
621.711,590194748,1310724972,7733582,3152
627.702,595119503,1339203352,4924755,28478380
633.703,600702805,1339206504,5583302,3152
639.705,607778558,1367599436,7075753,28392932
645.703,611602538,1367690102,3823980,90666
651.735,620437517,1395429924,8834979,27739822
657.711,622111218,1396171837,1673701,741913
663.705,633096386,1419240312,10985168,23068475
