segs,recived,sent,recived_dt,sent_dt
0,0,0,0,0
5,141,119,141,119
10,12545374,22062842,12545233,22062723
15,31574483,60122064,19029109,38059222
20,53768653,101340689,22194170,41218625
25,75957962,152059426,22189309,50718737
30,104481285,209106277,28523323,57046851
35,133001547,266144367,28520262,57038090
40,158350445,320010310,25348898,53865943
45,180529478,370703643,22179033,50693333
50,199537955,408720794,19008477,38017151
55,221713762,459406920,22175807,50686126
60,250221847,506921207,28508085,47514287
65,272394515,557600378,22172668,50679171
70,297733509,601944482,25338994,44344104
75,300901406,614614341,3167897,12669859
