round,deltaT,mean_accuracy,n_selected
1,3133.0,0.6971236132085323,3
2,3129.0,0.37982188910245895,1
3,3113.0,0.8286521881818771,3
4,2090.0,0.6754513382911682,1
5,2124.0,0.827780470252037,2
6,2117.0,0.8020192980766296,2
7,2124.0,0.8807251453399658,2
8,2128.0,0.8481394499540329,2
9,2113.0,0.8996433317661285,2
10,2125.0,0.8693276643753052,2
11,2126.0,0.9287810027599335,2
12,2128.0,0.9036852121353149,2
13,2126.0,0.9180100709199905,2
14,2126.0,0.9250194877386093,2
15,2089.0,0.9452596753835678,2
16,2128.0,0.908314123749733,1
17,2111.0,0.9239323288202286,2
18,2118.0,0.9152520596981049,1
19,2124.0,0.93075031042099,2
20,2098.0,0.9270111173391342,1
21,2092.0,0.9419140368700027,2
22,2095.0,0.9521524012088776,1
23,3112.0,0.9430938214063644,2
24,2090.0,0.9465645551681519,1
25,2117.0,0.959516778588295,2
26,2121.0,0.9683513045310974,2
27,2096.0,0.96517214179039,2
28,3169.0,0.9664114415645599,3
29,2087.0,0.9696654230356216,2
30,2126.0,0.9623119831085205,2
31,2108.0,0.9697228670120239,2
32,3142.0,0.9632429480552673,2
33,2112.0,0.9773610532283783,2
