segs,recived,sent,recived_dt,sent_dt
0,0,0,0,0
5,165,124,165,124
10,165,153,165,29
15,165,182,165,29
20,165,211,165,29
25,165,240,165,29
30,165,269,165,29
35,165,298,165,29
40,165,327,165,29
45,165,356,165,29
50,165,385,165,29
55,215,459,50,74
60,215,488,50,29
65,238,554,23,66
70,261,620,23,66
75,261,649,23,29
80,261,678,23,29
85,261,707,23,29
90,261,736,23,29
95,261,765,23,29
100,261,794,23,29
105,265,860,4,66
110,265,889,4,29
115,265,918,4,29
120,265,947,4,29
125,265,976,4,29
130,647,1356,382,380
135,726,1434,79,78
140,1429,2799,703,1365
145,1429,2829,703,30
150,1429,2859,703,30
155,1433,2927,4,68
160,1433,2957,4,30
165,24195154,24196746,24193721,24193789
170,36384969,72954278,12189815,48757532
175,36384969,72954312,12189815,34
180,36384969,72954346,12189815,34
185,36384969,72954380,12189815,34
190,36384969,72954414,12189815,34
195,36384969,72954448,12189815,34
200,36384969,72954482,12189815,34
205,36384973,72954558,4,76
210,36384973,72954592,4,34
215,60725641,97295332,24340668,24340740
220,72898549,145985248,12172908,48689916
225,72898549,145985283,12172908,35
230,72898549,145985318,12172908,35
235,72898549,145985353,12172908,35
240,72898549,145985388,12172908,35
245,72898549,145985423,12172908,35
250,72898549,145985458,12172908,35
255,72898553,145985535,4,77
260,72898553,145985570,4,35
265,72898553,145985605,4,35
270,85065222,158152347,12166669,12166742
275,85065222,158152382,12166669,35
280,85065222,158152417,12166669,35
285,109399211,218987099,24333989,60834682
