segs,recived,sent,recived_dt,sent_dt
0,0,0,0,0
5,185,129,185,129
10,6248788,6251256,6248603,6251127
15,31596828,63316142,25348040,57064886
20,63298905,142612236,31702077,79296094
25,88670294,199698048,25371389,57085812
30,114037427,256775970,25367133,57077922
35,139401625,313846487,25364198,57070517
40,164763189,370909415,25361564,57062928
45,190122259,427967639,25359070,57058224
50,212309105,466005369,22186846,38037730
55,237664018,523052696,25354913,57047327
60,263018656,580102033,25354638,57049337
65,285215908,633974444,22197252,53872411
70,313720629,694182989,28504721,60208545
75,339070301,751219640,25349672,57036651
80,358083063,801918986,19012762,50699346
85,389768062,865289849,31684999,63370863
90,418282275,941327591,28514213,76037742
95,443627262,998354857,25344987,57027266
100,468972129,1055377483,25344867,57022626
105,494315239,1112400333,25343110,57022850
110,519659374,1169424593,25344135,57024260
115,545000770,1226443924,25341396,57019331
120,570341615,1283460944,25340845,57017020
125,592514554,1321472338,22172939,38011394
130,617853954,1378486298,25339400,57013960
