round,deltaT,mean_accuracy,n_selected
1,3131.0,0.7905758321285248,3
2,3092.0,0.3333548344671726,1
3,3147.0,0.802489697933197,3
4,2091.0,0.7241556197404861,1
5,3094.0,0.9036074727773666,3
6,3095.0,0.8282392770051956,2
7,2102.0,0.8995595723390579,2
8,2119.0,0.8494208306074142,2
9,2120.0,0.9133244454860687,2
10,3097.0,0.8780151903629303,2
11,2122.0,0.9219356179237366,2
12,2109.0,0.8948340564966202,2
13,2124.0,0.9454633146524429,2
14,3157.0,0.9161657243967056,2
15,2131.0,0.9417839050292969,2
16,3128.0,0.9586174637079239,3
17,2100.0,0.9370003491640091,1
18,3129.0,0.9668530076742172,3
19,2123.0,0.9194176942110062,1
20,2089.0,0.8882220983505249,1
21,2122.0,0.9109608680009842,1
22,2090.0,0.9457484781742096,2
23,2122.0,0.9481881707906723,1
24,3124.0,0.9776536226272583,3
