round,deltaT,mean_accuracy,n_selected
1,3100.0,0.4236917123198509,3
2,3128.0,0.5217417354385058,3
3,3092.0,0.6756671269734701,3
4,3150.0,0.7187024305264155,3
5,3152.0,0.642818217476209,3
6,3100.0,0.69390902419885,3
7,3130.0,0.6753373146057129,3
8,3169.0,0.8538692891597748,3
9,3097.0,0.79069917400678,3
10,3089.0,0.7894020875295004,3
11,3094.0,0.8154411613941193,3
12,3128.0,0.836955318848292,3
13,3094.0,0.7947686066230139,3
14,2096.0,0.851705402135849,3
15,3096.0,0.8299980858961741,3
16,3095.0,0.8565380175908407,3
17,3159.0,0.8011175890763601,3
18,3127.0,0.9016953110694885,3
19,3116.0,0.8731062213579813,3
20,3130.0,0.8640605310599009,3
21,3093.0,0.8851401011149088,3
22,3091.0,0.8887187341849009,3
23,3092.0,0.8754004736741384,3
24,3092.0,0.8832435806592306,3
25,3127.0,0.9336765706539154,3
26,3162.0,0.8748926023642222,3
27,2101.0,0.8981266915798187,3
28,2090.0,0.8915367325146993,3
29,3090.0,0.8961561322212219,3
30,3091.0,0.9026757379372915,3
31,3157.0,0.9172408580780029,3
32,3124.0,0.8890186051527659,3
33,2089.0,0.9274710416793823,3
34,3137.0,0.888767679532369,3
35,2097.0,0.9243035813172659,3
36,3091.0,0.9527276357014974,3
37,3093.0,0.9431318640708923,3
38,3140.0,0.9322031438350677,3
39,3108.0,0.9336531658967336,3
40,2090.0,0.9227914810180664,3
41,3117.0,0.9290522833665212,3
42,3090.0,0.9115252792835236,3
43,2090.0,0.9569098452727,3
44,3124.0,0.9413085877895355,3
45,3100.0,0.9308882753054301,3
46,3126.0,0.929174413283666,3
47,3096.0,0.9628088672955831,3
48,3098.0,0.948821355899175,3
49,2091.0,0.9554987053076426,3
50,3135.0,0.9128281275431315,3
