round,deltaT,mean_accuracy
1,3097.0,0.5133958123624325
2,3136.0,0.5869868136942387
3,2126.0,0.7693599909543991
4,2089.0,0.7370577305555344
5,2120.0,0.7704659551382065
6,2090.0,0.7710273116827011
7,3090.0,0.9482464641332626
8,2089.0,0.7756308168172836
9,2126.0,0.9019159376621246
10,2088.0,0.814344197511673
11,2097.0,0.9364161193370819
12,2125.0,0.9043304324150085
13,3120.0,0.9660079628229141
14,2125.0,0.8942360430955887
15,2121.0,0.9194026589393616
16,2089.0,0.9288155287504196
17,2089.0,0.9062258452177048
18,2089.0,0.937040701508522
19,2089.0,0.9379488378763199
20,2087.0,0.9582975208759308
21,3123.0,0.9405615478754044
22,2123.0,0.9452269822359085
23,2125.0,0.951774850487709
24,2126.0,0.9317400753498077
25,2112.0,0.9686957746744156
26,2126.0,0.9666108638048172
27,2107.0,0.9658163785934448
28,2089.0,0.9687748104333878
29,2125.0,0.9684260785579681
30,2101.0,0.978458508849144
