round,deltaT,mean_accuracy
1,3154.0,0.5724556595087051
2,3092.0,0.5774551890790462
3,2127.0,0.7324814796447754
4,2125.0,0.6691989786922932
5,2128.0,0.9010265916585922
6,2124.0,0.8710253834724426
7,2128.0,0.8355662226676941
8,2127.0,0.8161177933216095
9,2129.0,0.915333479642868
10,2090.0,0.8767115920782089
11,2125.0,0.8441152125597
12,2130.0,0.876956894993782
13,2089.0,0.9442786872386932
14,2124.0,0.9224319458007812
15,2123.0,0.907364010810852
16,2128.0,0.8983727395534515
17,2126.0,0.9494883567094803
18,2129.0,0.9624953269958496
19,2126.0,0.952690452337265
20,2126.0,0.9047656953334808
21,2125.0,0.9210731089115143
22,2127.0,0.9603970497846603
23,2100.0,0.9266188144683838
24,2089.0,0.9669137299060822
25,2126.0,0.9649657309055328
26,2088.0,0.9764197766780853
